event_name,event_data,result_id
slow_accel_method,"{'n': 4, 'series_value': 0.05965232355555558, 'partial_sum': 2.7192923997460317, 'partial_sum_deviation': 0.020328630851820684, 'accel_value': 2.698963773117923, 'accel_value_deviation': 4.2237120467802924e-09}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 6, 'series_value': 0.016915563504246164, 'partial_sum': 2.7049718374611866, 'partial_sum_deviation': 0.006008068566975666, 'accel_value': 2.6989638196674615, 'accel_value_deviation': 5.077325049285264e-08}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 8, 'series_value': 0.005298352502788824, 'partial_sum': 2.700887690740287, 'partial_sum_deviation': 0.0019239218460760377, 'accel_value': 2.7008876875068117, 'accel_value_deviation': 0.0019239186126007723}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 23, 'series_value': -2.372419701971349e-06, 'partial_sum': 2.698962866852065, 'partial_sum_deviation': 9.02042145867199e-07, 'accel_value': 2.6989904510425924, 'accel_value_deviation': 2.6682148381418358e-05}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6989636603186473, 'accel_value_deviation': 1.0857556365095888e-07}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 21, 'series_value': -6.3308347334128245e-06, 'partial_sum': 2.6989613676146145, 'partial_sum_deviation': 2.4012795964978295e-06, 'accel_value': 2.6989637688942096, 'accel_value_deviation': 1.3322676295501878e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6990094129191524, 'accel_value_deviation': 4.5644024941449146e-05}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 28, 'series_value': 2.1004598970201396e-07, 'partial_sum': 2.6989638491240484, 'partial_sum_deviation': 8.022983744027101e-08, 'accel_value': 2.6989637688942083, 'accel_value_deviation': 2.6645352591003757e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6972360784313727, 'accel_value_deviation': 0.0017276904628382717}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 45, 'series_value': -6.671253063962016e-11, 'partial_sum': 2.698963768868523, 'partial_sum_deviation': 2.5687896254567022e-11, 'accel_value': 2.6989637688942083, 'accel_value_deviation': 2.6645352591003757e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.7192923997460317, 'accel_value_deviation': 0.020328630851820684}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 9, 'series_value': -0.0030340039594917057, 'partial_sum': 2.697853686780795, 'partial_sum_deviation': 0.001110082113415789, 'accel_value': 2.6990047309552168, 'accel_value_deviation': 4.096206100578925e-05}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.69896359493271, 'accel_value_deviation': 1.739615007601003e-07}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 20, 'series_value': 1.0374462406126196e-05, 'partial_sum': 2.698967698449348, 'partial_sum_deviation': 3.929555136839014e-06, 'accel_value': 2.6989637688942096, 'accel_value_deviation': 1.3322676295501878e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6989637688942127, 'accel_value_deviation': 1.7763568394002505e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 2, 'series_value': 0.26214400000000004, 'partial_sum': 2.7794773333333334, 'partial_sum_deviation': 0.08051356443912239, 'accel_value': 2.9053307259259262, 'accel_value_deviation': 0.20636695703171526}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6989639500513762, 'accel_value_deviation': 1.81157165268786e-07}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.6989638322377902, 'accel_value_deviation': 6.334357927073597e-08}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 16, 'series_value': 7.682730910474132e-05, 'partial_sum': 2.6989926586953774, 'partial_sum_deviation': 2.8889801166442908e-05, 'accel_value': 2.6989637688942096, 'accel_value_deviation': 1.3322676295501878e-15}",97f01f1f-e5d8-4325-b609-76a689d62bf2
slow_accel_method,"{'n': 1, 'series_value': -0.6826666666666669, 'partial_sum': 2.517333333333333, 'partial_sum_deviation': 0.18163043556087777, 'accel_value': 2.698965603305261, 'accel_value_deviation': 1.8344110501722355e-06}",97f01f1f-e5d8-4325-b609-76a689d62bf2
divergent_accel_method,"{'n': 22, 'series_value': 3.871657152522687e-06, 'partial_sum': 2.698965239271767, 'partial_sum_deviation': 1.4703775561564214e-06, 'accel_value': 2.69896376889421, 'accel_value_deviation': 8.881784197001252e-16}",97f01f1f-e5d8-4325-b609-76a689d62bf2
